VALUE,LABEL
98,ESSENTIAL HYPERTENSION 
100,ACUTE MYOCARDIAL INFARCTION  
101,CORONARY ATHEROSCLEROSIS AND OTHER H 
102,NONSPECIFIC CHEST PAIN  
103,PULMONARY HEART DISEASE  
104,OTHER AND ILL-DEFINED HEART DISEASE  
105,CONDUCTION DISORDERS  
106,CARDIAC DYSRHYTHMIAS  
107,CARDIAC ARREST AND VENTRICULAR FIBRI  
108,CONGESTIVE HEART FAILURE
109,ACUTE CEREBROVASCULAR DISEASE  
110,OCCLUSION OR STENOSIS OF PRECEREBRAL  
111,OTHER AND ILL-DEFINED CEREBROVASCULA  
112,TRANSIENT CEREBRAL ISCHEMIA  
113,LATE EFFECTS OF CEREBROVASCULAR DISE  
114,PERIPHERAL AND VISCERAL ATHEROSCLERO  
115,AORTIC
116,AORTIC AND PERIPHERAL ARTERIAL EMBOL  
117,OTHER CIRCULATORY DISEASE  
118,PHLEBITIS
119,VARICOSE VEINS OF LOWER EXTREMITY  
120,HEMORRHOIDS  
121,OTHER DISEASES OF VEINS AND LYMPHATI  
122,PNEUMONIA (EXCEPT THAT CAUSED BY TUB  
123,INFLUENZA 
124,ACUTE AND CHRONIC TONSILLITIS  
125,ACUTE BRONCHITIS  
126,OTHER UPPER RESPIRATORY INFECTIONS 
127,CHRONIC OBSTRUCTIVE PULMONARY DISEAS 
128,ASTHMA 
130,PLEURISY
131,RESPIRATORY FAILURE
132,LUNG DISEASE DUE TO EXTERNAL AGENTS  
133,OTHER LOWER RESPIRATORY DISEASE 
134,OTHER UPPER RESPIRATORY DISEASE 
135,INTESTINAL INFECTION 
136,DISORDERS OF TEETH AND JAW 
137,DISEASES OF MOUTH
138,ESOPHAGEAL DISORDERS 
139,GASTRODUODENAL ULCER (EXCEPT HEMORRH  
140,GASTRITIS AND DUODENITIS  
141,OTHER DISORDERS OF STOMACH AND DUODE 
142,APPENDICITIS AND OTHER APPENDICEAL C  
143,ABDOMINAL HERNIA  
144,REGIONAL ENTERITIS AND ULCERATIVE CO  
145,INTESTINAL OBSTRUCTION WITHOUT HERNI  
146,DIVERTICULOSIS AND DIVERTICULITIS  
147,ANAL AND RECTAL CONDITIONS  
148,PERITONITIS AND INTESTINAL ABSCESS  
149,BILIARY TRACT DISEASE  
151,OTHER LIVER DISEASES  
152,PANCREATIC DISORDERS (NOT DIABETES)  
153,GASTROINTESTINAL HEMORRHAGE  
154,NONINFECTIOUS GASTROENTERITIS  
155,OTHER GASTROINTESTINAL DISORDERS  
156,NEPHRITIS
157,ACUTE AND UNSPECIFIED RENAL FAILURE  
158,CHRONIC RENAL FAILURE  
159,URINARY TRACT INFECTIONS  
160,CALCULUS OF URINARY TRACT  
161,OTHER DISEASES OF KIDNEY AND URETERS  
162,OTHER DISEASES OF BLADDER AND URETHR  
163,GENITOURINARY SYMPTOMS AND ILL-DEFIN  
164,HYPERPLASIA OF PROSTATE  
165,INFLAMMATORY CONDITIONS OF MALE GENI  
166,OTHER MALE GENITAL DISORDERS  
167,NONMALIGNANT BREAST CONDITIONS  
168,INFLAMMATORY DISEASES OF FEMALE PELV  
169,ENDOMETRIOSIS  
170,PROLAPSE OF FEMALE GENITAL ORGANS  
171,MENSTRUAL DISORDERS  
172,OVARIAN CYST  
173,MENOPAUSAL DISORDERS  
174,FEMALE INFERTILITY  
175,OTHER FEMALE GENITAL DISORDERS  
176,CONTRACEPTIVE AND PROCREATIVE MANAGE  
177,SPONTANEOUS ABORTION  
178,INDUCED ABORTION  
180,ECTOPIC PREGNANCY  
181,OTHER COMPLICATIONS OF PREGNANCY  
183,HYPERTENSION COMPLICATING PREGNANCY
184,EARLY OR THREATENED LABOR  
186,DIABETES OR ABNORMAL GLUCOSE TOLERAN  
195,OTHER COMPLICATIONS OF BIRTH
196,NORMAL PREGNANCY AND/OR DELIVERY  
197,SKIN AND SUBCUTANEOUS TISSUE INFECTI  
198,OTHER INFLAMMATORY CONDITION OF SKIN  
199,CHRONIC ULCER OF SKIN  
200,OTHER SKIN DISORDERS 
201,INFECTIVE ARTHRITIS AND OSTEOMYELITI  
202,RHEUMATOID ARTHRITIS AND RELATED DIS  
203,OSTEOARTHRITIS 
204,OTHER NON-TRAUMATIC JOINT DISORDERS 
205,SPONDYLOSIS
206,OSTEOPOROSIS  
207,PATHOLOGICAL FRACTURE  
208,ACQUIRED FOOT DEFORMITIES  
209,OTHER ACQUIRED DEFORMITIES  
210,SYSTEMIC LUPUS ERYTHEMATOSUS AND CON  
211,OTHER CONNECTIVE TISSUE DISEASE 
212,OTHER BONE DISEASE AND MUSCULOSKELET  
213,CARDIAC AND CIRCULATORY CONGENITAL A  
214,DIGESTIVE CONGENITAL ANOMALIES  
215,GENITOURINARY CONGENITAL ANOMALIES  
216,NERVOUS SYSTEM CONGENITAL ANOMALIES  
217,OTHER CONGENITAL ANOMALIES  
218,LIVEBORN  
219,SHORT GESTATION
224,OTHER PERINATAL CONDITIONS  
225,JOINT DISORDERS AND DISLOCATIONS
226,FRACTURE OF NECK OF FEMUR (HIP)  
227,SPINAL CORD INJURY  
228,SKULL AND FACE FRACTURES  
229,FRACTURE OF UPPER LIMB  
230,FRACTURE OF LOWER LIMB  
231,OTHER FRACTURES  
232,SPRAINS AND STRAINS 
233,INTRACRANIAL INJURY  
234,CRUSHING INJURY OR INTERNAL INJURY  
235,OPEN WOUNDS OF HEAD
236,OPEN WOUNDS OF EXTREMITIES  
237,COMPLICATION OF DEVICE
238,COMPLICATIONS OF SURGICAL PROCEDURES  
239,SUPERFICIAL INJURY
240,BURNS  
242,POISONING BY OTHER MEDICATIONS AND D  
243,POISONING BY NONMEDICINAL SUBSTANCES  
244,OTHER INJURIES AND CONDITIONS DUE TO 
245,SYNCOPE  
246,FEVER OF UNKNOWN ORIGIN  
247,LYMPHADENITIS  
250,NAUSEA AND VOMITING  
251,ABDOMINAL PAIN  
252,MALAISE AND FATIGUE  
253,ALLERGIC REACTIONS  
254,REHABILITATION CARE
255,ADMINISTRATIVE/SOCIAL ADMISSION 
256,MEDICAL EXAMINATION/EVALUATION  
257,OTHER AFTERCARE  
258,OTHER SCREENING FOR SUSPECTED CONDIT  
259,RESIDUAL CODES
650,ADJUSTMENT DISORDER  
651,ANXIETY DISORDER 
652,ATTENTION-DEFICIT
653,DELIRIUM
654,DEVELOPMENTAL DISORDERS  
655,DISORDERS USUALLY DIAGNOSED IN INFAN  
657,MOOD DISORDERS 
658,PERSONALITY DISORDERS  
659,SCHIZOPHRENIA AND OTHER PSYCHOTIC DI  
660,ALCOHOL-RELATED DISORDERS  
661,SUBSTANCE-RELATED DISORDERS  
662,SUICIDE AND INTENTIONAL SELF-INFLICT  
663,SCREENING AND HISTORY OF MENTAL HEAL  
670,MISCELLANEOUS MENTAL DISORDERS  
